first,second
w1 p1 s1,"[[0.69, 0.63, 0.6, 0.54, 0.51, 0.44, 0.41, 0.4, 0.38, 0.33, 0.28, 0.23, 0.24, 0.24, 0.21, 0.13, 0.11, 0.11, 0.15, 0.24, 0.39, 0.53, 0.65, 0.75], [378.52, 358.58, 332.46, 319.37, 300.54, 299.13, 294.89, 298.31, 307.09, 333.95, 334.85, 351.22, 377.85, 338.49, 332.84, 346.68, 394.3, 448.39, 451.0, 449.14, 427.11, 400.77, 397.72, 369.97], [0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0]]"
w1 p1 s2,"[[0.69, 0.63, 0.6, 0.54, 0.51, 0.44, 0.41, 0.4, 0.38, 0.33, 0.28, 0.23, 0.24, 0.24, 0.21, 0.13, 0.11, 0.11, 0.15, 0.24, 0.39, 0.53, 0.65, 0.75], [378.52, 358.58, 332.46, 319.37, 300.54, 299.13, 294.89, 298.31, 307.09, 333.95, 334.85, 351.22, 377.85, 338.49, 332.84, 346.68, 394.3, 448.39, 451.0, 449.14, 427.11, 400.77, 397.72, 369.97], [1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0]]"
w1 p1 s3,"[[0.69, 0.63, 0.6, 0.54, 0.51, 0.44, 0.41, 0.4, 0.38, 0.33, 0.28, 0.23, 0.24, 0.24, 0.21, 0.13, 0.11, 0.11, 0.15, 0.24, 0.39, 0.53, 0.65, 0.75], [378.52, 358.58, 332.46, 319.37, 300.54, 299.13, 294.89, 298.31, 307.09, 333.95, 334.85, 351.22, 377.85, 338.49, 332.84, 346.68, 394.3, 448.39, 451.0, 449.14, 427.11, 400.77, 397.72, 369.97], [1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]]"
w1 p10 s1,"[[0.69, 0.63, 0.6, 0.54, 0.51, 0.44, 0.41, 0.4, 0.38, 0.33, 0.28, 0.23, 0.24, 0.24, 0.21, 0.13, 0.11, 0.11, 0.15, 0.24, 0.39, 0.53, 0.65, 0.75], [394.35, 392.34, 399.92, 421.79, 451.61, 595.42, 702.43, 754.86, 644.43, 609.78, 608.74, 580.18, 535.41, 475.92, 451.83, 442.83, 526.42, 579.73, 637.81, 661.24, 647.26, 609.78, 579.96, 505.67], [0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0]]"
w1 p10 s2,"[[0.69, 0.63, 0.6, 0.54, 0.51, 0.44, 0.41, 0.4, 0.38, 0.33, 0.28, 0.23, 0.24, 0.24, 0.21, 0.13, 0.11, 0.11, 0.15, 0.24, 0.39, 0.53, 0.65, 0.75], [394.35, 392.34, 399.92, 421.79, 451.61, 595.42, 702.43, 754.86, 644.43, 609.78, 608.74, 580.18, 535.41, 475.92, 451.83, 442.83, 526.42, 579.73, 637.81, 661.24, 647.26, 609.78, 579.96, 505.67], [1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0]]"
w1 p10 s3,"[[0.69, 0.63, 0.6, 0.54, 0.51, 0.44, 0.41, 0.4, 0.38, 0.33, 0.28, 0.23, 0.24, 0.24, 0.21, 0.13, 0.11, 0.11, 0.15, 0.24, 0.39, 0.53, 0.65, 0.75], [394.35, 392.34, 399.92, 421.79, 451.61, 595.42, 702.43, 754.86, 644.43, 609.78, 608.74, 580.18, 535.41, 475.92, 451.83, 442.83, 526.42, 579.73, 637.81, 661.24, 647.26, 609.78, 579.96, 505.67], [1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]]"
w1 p11 s1,"[[0.69, 0.63, 0.6, 0.54, 0.51, 0.44, 0.41, 0.4, 0.38, 0.33, 0.28, 0.23, 0.24, 0.24, 0.21, 0.13, 0.11, 0.11, 0.15, 0.24, 0.39, 0.53, 0.65, 0.75], [438.31, 420.16, 418.15, 423.51, 461.06, 587.41, 637.98, 647.72, 581.53, 483.0, 454.37, 432.28, 417.34, 411.98, 423.21, 432.28, 524.87, 590.16, 644.74, 633.14, 598.64, 560.04, 498.84, 483.37], [0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0]]"
w1 p11 s2,"[[0.69, 0.63, 0.6, 0.54, 0.51, 0.44, 0.41, 0.4, 0.38, 0.33, 0.28, 0.23, 0.24, 0.24, 0.21, 0.13, 0.11, 0.11, 0.15, 0.24, 0.39, 0.53, 0.65, 0.75], [438.31, 420.16, 418.15, 423.51, 461.06, 587.41, 637.98, 647.72, 581.53, 483.0, 454.37, 432.28, 417.34, 411.98, 423.21, 432.28, 524.87, 590.16, 644.74, 633.14, 598.64, 560.04, 498.84, 483.37], [1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0]]"
w1 p11 s3,"[[0.69, 0.63, 0.6, 0.54, 0.51, 0.44, 0.41, 0.4, 0.38, 0.33, 0.28, 0.23, 0.24, 0.24, 0.21, 0.13, 0.11, 0.11, 0.15, 0.24, 0.39, 0.53, 0.65, 0.75], [438.31, 420.16, 418.15, 423.51, 461.06, 587.41, 637.98, 647.72, 581.53, 483.0, 454.37, 432.28, 417.34, 411.98, 423.21, 432.28, 524.87, 590.16, 644.74, 633.14, 598.64, 560.04, 498.84, 483.37], [1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]]"
w1 p12 s1,"[[0.69, 0.63, 0.6, 0.54, 0.51, 0.44, 0.41, 0.4, 0.38, 0.33, 0.28, 0.23, 0.24, 0.24, 0.21, 0.13, 0.11, 0.11, 0.15, 0.24, 0.39, 0.53, 0.65, 0.75], [540.63, 508.13, 487.83, 491.47, 515.49, 601.68, 663.85, 687.87, 629.05, 553.57, 590.15, 611.12, 491.17, 484.85, 492.66, 531.7, 607.55, 639.6, 722.74, 713.0, 670.24, 648.83, 602.13, 607.91], [0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0]]"
